City_ID,City,Country,Max Temp,Desc,Lat,Lng,Hotel Name
9,Jamestown,US,71.24,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Camacha,PT,74.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
13,Vite,IN,71.22,light rain,17.2833,74.55,Hotel Dreamland
24,Ribeira Grande,PT,75.6,light rain,38.5167,-28.7,Quinta da Meia Eira
28,Hambantota,LK,78.91,broken clouds,6.1241,81.1185,Bungalow 63
37,Ponta Do Sol,PT,79.0,overcast clouds,32.6667,-17.1,Hotel do Campo
43,Falavarjan,IR,76.21,clear sky,32.5553,51.5097,بوستان
46,Kolaras,IN,75.72,scattered clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
47,Sao Joao Da Barra,BR,71.19,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
48,Koungou,YT,74.91,overcast clouds,-12.7336,45.2042,Villa Netibor
50,Matara,LK,76.37,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
51,Pitimbu,BR,79.63,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
56,Cabedelo,BR,79.97,few clouds,-6.9811,-34.8339,Pousada Camboinha
59,Takoradi,GH,77.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
66,Margate,GB,73.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
67,Plerin,FR,70.12,clear sky,48.5425,-2.7798,Hotel Ker Izel
69,Eyl,SO,78.66,broken clouds,7.9803,49.8164,Amiin Hotel
71,Ivaipora,BR,73.4,overcast clouds,-24.2478,-51.6847,Vilhar Palace Hotel
72,Dingle,PH,75.38,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
74,Belmonte,BR,78.19,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
75,Lagoa,PT,71.38,broken clouds,39.05,-27.9833,Casa Das Faias
78,New Haven,US,76.57,overcast clouds,41.4001,-72.9329,Clarion Hotel & Suites Hamden-New Haven
79,Sayyan,YE,71.22,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
84,Salalah,OM,79.79,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
87,Pindiga,NG,77.79,scattered clouds,9.9833,10.9333,Accommodation Center
90,Fort-Shevchenko,KZ,72.25,clear sky,44.5086,50.263,Oasis hotel Bautino
103,Souillac,MU,70.07,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
